Fold,Test Start,Test End,Strategy,Ann. Return (%),Ann. Vol (%),Sharpe,Sortino,Max Drawdown (%),Calmar,Total Return (%)
Fold 1,2017-01-01,2019-01-01,Regime-Shift,5.55,7.93,0.699,1.008,-10.17,0.545,10.55
Fold 1,2017-01-01,2019-01-01,60/40,7.01,9.3,0.754,0.923,-12.04,0.582,13.44
Fold 1,2017-01-01,2019-01-01,EqWt,4.11,6.95,0.591,0.768,-9.56,0.429,7.69
Fold 2,2019-01-01,2021-01-01,Regime-Shift,21.62,18.84,1.147,1.207,-24.94,0.867,46.46
Fold 2,2019-01-01,2021-01-01,60/40,22.98,16.03,1.434,1.517,-20.55,1.118,51.78
Fold 2,2019-01-01,2021-01-01,EqWt,14.85,13.57,1.094,1.07,-20.18,0.736,30.71
Fold 3,2021-01-01,2023-01-01,Regime-Shift,-0.31,16.94,-0.018,-0.026,-24.4,-0.013,-2.88
Fold 3,2021-01-01,2023-01-01,60/40,-1.7,15.29,-0.111,-0.162,-26.7,-0.064,-4.68
Fold 3,2021-01-01,2023-01-01,EqWt,-4.59,11.69,-0.393,-0.576,-24.55,-0.187,-8.45
Fold 4,2023-01-01,2025-01-01,Regime-Shift,22.91,11.72,1.955,2.809,-8.49,2.698,53.09
Fold 4,2023-01-01,2025-01-01,60/40,18.45,10.82,1.705,2.525,-9.11,2.025,40.82
Fold 4,2023-01-01,2025-01-01,EqWt,9.52,8.75,1.087,1.604,-8.86,1.075,19.13
Fold 5,2025-01-01,2026-05-31,Regime-Shift,36.09,19.06,1.894,2.133,-15.22,2.371,53.03
Fold 5,2025-01-01,2026-05-31,60/40,20.82,14.61,1.424,1.891,-12.82,1.624,27.8
Fold 5,2025-01-01,2026-05-31,EqWt,16.07,10.47,1.535,2.029,-8.99,1.787,21.25
